Project Code,PQ #,Country,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Scheduled_Delivery_Date_D,Scheduled_Delivery_Date_M,Scheduled_Delivery_Date_Y,Delivered_to_Client_Date_D,Delivered_to_Client_Date_M,Delivered_to_Client_Date_Y
24,392,5,1,3,0,254,0,0,16,44,8,0,0,9,240,3168,6336.0,2.0,0.01,10,1765.0,18473.1,13.66,2.0,4,10.0,9.0,4,10.0
30,688,7,1,3,0,479,0,1,16,54,25,0,32,7,30,1300,15275.0,11.75,0.39,4,105.0,2393.54,32.93,4.0,4,10.0,15.0,7,10.0
34,650,12,1,3,1,458,0,1,16,14,13,0,12,7,60,107832,754824.0,7.0,0.12,10,8744.0,12651.44,1058.26,5.0,2,13.0,5.0,2,13.0
2,0,2,1,3,1,1,0,1,16,21,17,0,3,1,60,6915,175986.75,25.45,0.42,0,1067.0,2217.5,344.93,26.0,0,9.0,26.0,0,9.0
23,212,0,0,0,0,189,0,1,11,5,5,0,4,1,30,21146,86698.6,4.1,0.14,15,1301.0,5664.49,143.05,13.0,8,12.0,13.0,7,12.0
22,580,3,1,3,2,42,0,1,16,59,29,0,35,7,30,291928,2802508.8,9.6,0.32,12,37701.0,68046.0,2880.98,30.0,8,15.0,15.0,7,15.0
25,609,11,1,3,1,122,0,0,16,61,4,0,0,9,240,4000,8400.0,2.1,0.01,0,1137.0,4711.97,13.86,31.0,9,11.0,9.0,8,11.0
27,185,6,0,1,0,132,0,1,1,58,15,8,17,1,60,1514,10370.9,6.85,0.11,1,204.0,1949.64,10.66,16.0,6,14.0,16.0,6,14.0
29,157,4,0,2,0,143,0,0,7,53,5,13,31,9,180,1184,20080.64,16.96,0.09,8,361.0,783.22,33.13,20.0,7,12.0,20.0,10,12.0
24,13,5,0,0,0,13,0,1,4,20,16,0,18,7,60,24992,202435.2,8.1,0.13,4,3458.0,19839.26,208.1,27.0,9,15.0,27.0,8,15.0
15,0,12,1,3,1,1,0,1,16,55,28,0,33,7,30,92000,1058000.0,11.5,0.38,4,7579.0,6759.28,2073.68,29.0,6,9.0,29.0,6,9.0
27,214,6,0,2,0,191,0,1,4,20,16,0,18,7,60,61290,698706.0,11.4,0.19,4,7965.0,65851.29,1506.41,27.0,6,10.0,27.0,6,10.0
25,438,11,1,3,1,341,0,0,16,66,0,0,0,0,240,14000,27300.0,1.95,0.01,0,14413.0,5491.01,45.04,10.0,1,11.0,4.0,1,11.0
30,402,7,1,3,0,321,0,1,16,55,28,0,33,7,30,2000,20000.0,10.0,0.33,4,168.0,2990.92,43.12,15.0,7,10.0,15.0,3,10.0
45,217,10,0,0,3,7,0,0,4,77,16,0,38,11,60,204713,736966.8,3.6,0.06,4,11430.0,22059.25,757.6,3.0,2,14.0,3.0,2,14.0
29,381,4,1,3,0,310,0,0,16,0,0,0,0,0,240,4464,8570.88,1.92,0.01,0,1655.0,1211.48,16.8,4.0,11,9.0,2.0,11,9.0
30,118,7,0,1,0,112,0,1,1,1,1,1,1,1,120,60,2169.6,36.16,0.3,1,36.0,814.04,4.25,4.0,2,9.0,4.0,2,9.0
30,690,7,1,3,1,335,0,1,16,14,13,0,12,7,60,3570,30523.5,8.55,0.14,12,294.0,2894.0,65.81,15.0,11,10.0,1.0,11,10.0
