iter	RMSE
0	14936.37587
1	14816.01527
2	14677.00517
3	14565.42558
4	14451.02631
5	14328.80451
6	14204.95886
7	14115.89348
8	14021.29108
9	13915.18241
10	13807.79576
11	13709.36042
12	13623.4873
13	13519.46237
14	13436.00269
15	13340.67256
16	13252.79065
17	13144.88036
18	13029.06994
19	12942.18896
20	12860.84258
21	12774.60377
22	12704.94692
23	12638.69922
24	12574.7196
25	12505.47356
26	12425.02524
27	12367.31639
28	12295.2517
29	12221.34959
30	12152.45995
31	12083.97463
32	12026.08552
33	11947.70934
34	11876.76146
35	11823.99299
36	11767.45714
37	11717.22959
38	11662.58252
39	11612.58802
40	11564.05895
41	11510.14967
42	11441.04556
43	11390.98788
44	11341.60008
45	11281.99971
46	11230.77912
47	11188.33784
48	11142.62029
49	11090.41774
50	11048.16827
51	11006.33576
52	10965.16826
53	10915.49364
54	10872.56292
55	10838.72278
56	10807.55772
57	10771.05227
58	10730.27094
59	10693.31111
60	10656.36228
61	10615.90625
62	10586.33916
63	10532.70341
64	10501.17582
65	10468.47271
66	10434.40239
67	10396.99237
68	10369.45223
69	10323.71772
70	10287.86814
71	10254.89851
72	10234.1094
73	10208.6806
74	10182.68293
75	10161.95139
76	10130.55915
77	10105.57075
78	10082.23501
79	10058.24004
80	10031.29158
81	10007.9617
82	9988.742356
83	9968.08904
84	9943.318489
85	9914.760463
86	9894.627486
87	9876.345235
88	9859.361031
89	9838.096278
90	9822.107024
91	9800.832658
92	9772.70456
93	9750.1812
94	9735.525746
95	9714.384132
96	9699.570301
97	9689.855523
98	9668.730187
99	9633.200166
100	9606.410994
101	9573.850597
102	9556.891587
103	9537.284561
104	9519.560524
105	9494.03536
106	9479.572658
107	9471.895409
108	9464.07767
109	9443.98393
110	9435.962508
111	9421.012742
112	9409.698493
113	9399.134113
114	9384.185949
115	9368.920252
116	9358.741822
117	9346.923407
118	9336.280865
119	9318.199147
120	9299.701385
121	9276.272745
122	9265.686605
123	9253.64081
124	9245.571265
125	9233.95736
126	9220.965745
127	9208.521509
128	9194.192601
129	9168.203521
130	9154.864066
131	9145.052858
132	9131.073197
133	9119.569772
134	9113.859583
135	9104.295431
136	9090.18669
137	9081.176879
138	9054.688809
139	9045.146943
140	9040.059123
141	9028.388032
142	9024.122241
143	9016.808032
