iter	Passed	Remaining
0	4	12391
1	9	11296
2	12	10283
3	15	9497
4	17	8977
5	20	8701
6	23	8536
7	26	8378
8	29	8199
9	32	8096
10	36	8195
11	39	8161
12	41	8029
13	44	7888
14	46	7768
15	49	7665
16	52	7666
17	55	7593
18	57	7563
19	60	7527
20	63	7483
21	66	7440
22	68	7424
23	71	7381
24	74	7358
25	76	7291
26	78	7227
27	81	7171
28	84	7164
29	86	7115
30	88	7066
31	90	7010
32	92	6948
33	95	6910
34	97	6865
35	100	6865
36	103	6873
37	106	6883
38	108	6863
39	111	6858
40	113	6825
41	116	6814
42	118	6795
43	121	6779
44	123	6759
45	127	6794
46	129	6776
47	132	6770
48	135	6765
49	137	6741
50	140	6762
51	143	6743
52	145	6710
53	148	6705
54	150	6671
55	152	6636
56	153	6596
57	155	6558
58	157	6523
59	159	6489
60	161	6468
61	164	6463
62	166	6451
63	168	6425
64	170	6400
65	172	6375
66	174	6349
67	176	6325
68	179	6315
69	181	6301
70	183	6293
71	185	6269
72	187	6241
73	189	6218
74	191	6194
75	193	6174
76	196	6172
77	216	6709
78	222	6822
79	226	6866
80	231	6923
81	235	6934
82	237	6928
83	240	6918
84	243	6913
85	246	6911
86	248	6896
87	250	6873
88	252	6848
89	254	6820
90	256	6792
91	258	6771
92	261	6764
93	263	6748
94	265	6721
95	267	6695
96	269	6670
97	271	6642
98	272	6617
99	275	6610
100	277	6601
101	280	6602
102	283	6589
103	285	6577
104	287	6565
105	291	6577
106	294	6579
107	296	6568
108	298	6555
109	301	6540
110	303	6532
111	306	6538
112	310	6549
113	313	6557
114	316	6561
115	319	6563
116	322	6564
117	325	6572
118	328	6563
119	330	6552
120	332	6542
121	335	6537
122	338	6532
123	341	6535
124	343	6523
125	345	6506
126	347	6490
127	349	6472
128	351	6452
129	353	6438
130	355	6433
131	358	6430
132	361	6434
133	363	6419
134	365	6403
135	367	6386
136	369	6379
137	371	6363
138	373	6350
139	375	6333
140	377	6319
141	379	6304
142	381	6289
143	383	6273
144	385	6267
145	387	6253
146	389	6236
147	391	6224
148	393	6210
149	395	6197
150	397	6186
151	399	6176
152	402	6174
153	404	6168
154	407	6160
155	409	6146
156	410	6132
157	412	6119
158	414	6106
159	416	6094
160	419	6089
161	421	6076
162	422	6063
163	424	6049
164	426	6035
165	428	6023
166	430	6011
167	432	5999
168	434	5998
169	437	5994
170	439	5981
171	441	5972
172	443	5961
173	445	5950
174	447	5939
175	449	5929
176	451	5927
177	453	5916
178	455	5905
179	457	5895
180	459	5885
181	461	5877
182	463	5866
183	465	5862
184	467	5853
185	469	5843
186	471	5832
187	473	5823
188	475	5813
189	477	5801
190	479	5791
191	481	5790
192	484	5785
193	486	5785
194	488	5777
195	490	5767
196	492	5757
197	494	5747
198	496	5739
199	498	5737
200	501	5732
201	503	5729
202	505	5718
203	507	5709
204	508	5698
205	510	5688
206	513	5683
207	515	5680
208	517	5671
209	519	5662
210	521	5653
211	522	5643
212	524	5633
213	526	5625
214	528	5620
215	531	5616
216	533	5607
217	534	5599
218	536	5590
219	538	5581
220	540	5575
221	542	5567
222	545	5572
223	547	5566
224	549	5559
225	551	5551
226	553	5543
227	555	5534
228	557	5525
229	558	5516
230	563	5533
231	565	5531
232	567	5523
233	569	5516
234	571	5509
235	573	5503
236	576	5503
237	578	5502
238	580	5495
239	583	5491
240	585	5483
241	586	5476
242	588	5469
243	590	5461
244	593	5458
245	596	5461
246	598	5455
247	599	5448
248	601	5439
249	603	5433
250	605	5425
251	607	5418
252	609	5414
253	611	5411
254	614	5407
255	616	5402
256	618	5395
257	620	5388
258	621	5381
259	623	5374
260	626	5374
261	628	5368
262	630	5362
263	632	5355
264	634	5348
265	635	5341
266	637	5334
267	639	5329
268	642	5327
269	644	5325
270	647	5322
271	649	5316
272	651	5311
273	652	5304
274	654	5299
275	657	5297
276	659	5292
277	661	5285
278	663	5279
279	665	5273
280	667	5273
281	669	5267
282	671	5261
283	674	5261
284	676	5259
285	678	5253
286	680	5247
287	682	5240
288	683	5232
289	685	5226
290	687	5220
291	690	5219
292	692	5213
293	693	5206
294	695	5201
295	697	5195
296	699	5189
297	701	5183
298	703	5179
299	705	5177
